,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
13,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. She had a happy childhood, but her parents died in a car accident when she was only 14 years old. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. She had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
15,text-delete," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. e had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David.",user,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
16,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
18,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
20,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
22,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
26,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long. David was afraid that he would see a monster in the dark.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
28,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long. David was afraid that he would see a monster in the dark. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long. David was afraid that he would see a monster in the dark. Anna was a good wife, and she tried to help him.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
30,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long. David was afraid that he would see a monster in the dark. Anna was a good wife, and she tried to help him. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,suggestion-close," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. Anna had a happy childhood, but her parents died in a car accident when she was only 14 years old. She was sent to an orphanage, where she met a boy named David. They fell in love and ran away together. They lived in a small cottage in the woods. David was a good man, but he had a dark secret. He could not sleep at night! He was afraid of the dark, and he had to keep the lights on all night long. David was afraid that he would see a monster in the dark. Anna was a good wife, and she tried to help him. ",user,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
